page_title,election_cycle,total_revisions,unique_editors,net_size_change,minor_edits,anonymous_edits,bot_edits,first_edit,last_edit,office,state,district,party,pvi,pvi_numeric,candidate_was_incumbent,candidate_won_election,vote_percentage,election_type,editing_span_days
Patrick_McHenry,2008,386,153,17018.0,54,152,1,2006-11-08 20:22:35+00:00,2008-11-02 13:51:59+00:00,House,North Carolina,North Carolina 10,Republican,,,True,True,57.6,general,724
Charles_Rangel,2008,384,222,24962.0,87,134,2,2006-11-08 21:21:22+00:00,2008-10-26 15:56:57+00:00,House,New York,New York 15,Democratic,,,True,True,89.2,general,717
Pete_Stark,2008,378,201,18007.0,68,113,0,2006-11-08 08:05:18+00:00,2008-10-26 14:19:13+00:00,House,California,California 13,Democratic,,,True,True,76.5,general,718
Gordon_H._Smith,2008,354,148,20027.0,69,108,0,2006-11-10 01:16:30+00:00,2008-11-02 20:18:58+00:00,Senate,Oregon,,Republican,,,False,False,45.6,general,723
Carolyn_McCarthy,2008,353,142,21501.0,69,99,1,2006-11-12 20:59:50+00:00,2008-11-02 17:08:16+00:00,House,New York,New York 4,Democratic,,,True,True,64.0,general,720
Marilyn_Musgrave,2008,352,146,18327.0,62,132,0,2006-11-08 01:27:21+00:00,2008-11-04 18:29:52+00:00,House,Colorado,Colorado 4,Republican,,,True,False,43.8,general,727
Maxine_Waters,2008,350,153,9985.0,74,106,0,2006-11-08 00:32:04+00:00,2008-10-28 08:05:24+00:00,House,California,California 35,Democratic,,,True,True,82.6,general,720
Steny_Hoyer,2008,350,166,14906.0,64,121,2,2006-11-08 05:57:28+00:00,2008-11-04 19:28:06+00:00,House,Maryland,Maryland 5,Democratic,,,True,True,73.6,general,727
Steve_King,2008,350,142,7006.0,46,124,0,2006-11-10 06:50:43+00:00,2008-10-31 14:35:45+00:00,House,Iowa,Iowa 5,Republican,,,True,True,59.8,general,721
Lindsey_Graham,2008,344,209,9810.0,72,131,3,2006-11-16 02:27:48+00:00,2008-11-04 16:35:48+00:00,Senate,South Carolina,,Republican,,,False,True,57.5,general,719
Dave_Reichert,2008,340,114,-6926.0,61,96,1,2006-11-08 05:14:57+00:00,2008-11-04 15:32:06+00:00,House,Washington,Washington 8,Republican,,,True,True,52.8,general,727
Tom_Harkin,2008,340,216,12796.0,71,124,2,2006-11-09 15:58:50+00:00,2008-10-30 05:28:41+00:00,Senate,Iowa,,Democratic,,,False,True,62.7,general,720
Jon_Porter,2008,339,92,12499.0,66,111,0,2006-11-11 07:00:28+00:00,2008-11-01 21:45:24+00:00,House,Nevada,Nevada 3,Republican,,,True,False,42.3,general,721
Susan_Collins,2008,338,190,11346.0,71,112,0,2006-11-08 04:17:21+00:00,2008-11-04 19:11:33+00:00,Senate,Maine,,Republican,,,False,True,61.3,general,727
John_Barrasso,2008,336,134,12422.0,46,76,1,2007-06-16 01:53:36+00:00,2008-11-02 16:56:29+00:00,Senate,Wyoming,,Republican,,,False,True,73.4,special,505
Mike_Honda,2008,329,129,10206.0,62,121,2,2006-11-09 23:03:41+00:00,2008-11-03 20:33:07+00:00,House,California,California 15,Democratic,,,True,True,71.7,general,724
Mark_Warner,2008,326,185,4294.0,65,89,1,2006-11-09 21:11:05+00:00,2008-11-03 02:48:58+00:00,Senate,Virginia,,Democratic,,,False,True,65.0,general,724
Virgil_Goode,2008,318,158,17382.0,72,97,1,2006-11-09 17:01:17+00:00,2008-11-03 17:54:54+00:00,House,Virginia,Virginia 5,Republican,,,True,False,49.9,general,725
John_Adler,2008,317,78,31096.0,24,140,0,2006-11-17 19:59:11+00:00,2008-10-31 05:34:20+00:00,House,New Jersey,New Jersey 3,Democratic,,,False,True,52.1,general,713
Steve_Kagen,2008,306,122,13795.0,51,127,0,2006-11-08 21:56:50+00:00,2008-10-18 15:12:14+00:00,House,Wisconsin,Wisconsin 8,Democratic,,,True,True,54.0,general,709
John_Hall_(New_York_politician),2008,293,139,10800.0,49,73,1,2006-11-08 09:53:20+00:00,2008-10-22 00:54:02+00:00,House,New York,New York 19,Democratic,,,True,True,58.7,general,713
John_Cornyn,2008,290,161,8263.0,52,65,0,2006-11-19 12:02:38+00:00,2008-11-04 12:37:48+00:00,Senate,Texas,,Republican,,,False,True,54.8,general,716
John_E._Sununu,2008,290,185,11337.0,63,104,3,2006-11-13 09:53:02+00:00,2008-11-04 04:13:58+00:00,Senate,New Hampshire,,Republican,,,False,False,45.2,general,721
Dana_Rohrabacher,2008,286,146,21037.0,80,78,1,2006-11-08 03:57:13+00:00,2008-10-29 13:33:29+00:00,House,California,California 46,Republican,,,True,True,52.6,general,721
William_Jefferson_(politician),2008,284,163,4884.0,59,107,1,2006-11-08 05:13:26+00:00,2008-10-27 23:35:05+00:00,House,Louisiana,Louisiana 2,Democratic,,,True,False,46.8,general,719
Jeff_Sessions,2008,278,142,11001.0,70,104,2,2006-11-09 19:03:08+00:00,2008-11-03 07:39:03+00:00,Senate,Alabama,,Republican,,,False,True,63.4,general,724
Jackie_Speier,2008,276,95,11773.0,74,41,1,2006-12-05 23:38:24+00:00,2008-10-19 07:12:18+00:00,House,California,California 12,Democratic,,,False,True,77.72,special,683
Chris_Myers_(New_Jersey_politician),2008,274,51,29582.0,22,102,0,2008-07-09 16:19:16+00:00,2008-11-04 20:07:22+00:00,House,New Jersey,New Jersey 3,Republican,,,False,False,47.9,general,118
John_Lewis,2008,271,160,8225.0,69,96,2,2006-11-10 03:07:08+00:00,2008-10-28 23:04:01+00:00,House,Georgia,Georgia 5,Democratic,,,True,True,99.9,general,718
Carl_Levin,2008,269,151,10791.0,54,88,0,2006-11-09 20:43:37+00:00,2008-11-03 15:09:30+00:00,Senate,Michigan,,Democratic,,,False,True,62.7,general,724
Mark_Kirk,2008,265,112,7745.0,39,80,0,2006-11-08 19:39:03+00:00,2008-10-28 03:21:59+00:00,House,Illinois,Illinois 10,Republican,,,True,True,52.6,general,719
Carol_Shea-Porter,2008,263,135,6600.0,40,106,0,2006-11-08 04:06:18+00:00,2008-10-29 20:45:34+00:00,House,New Hampshire,New Hampshire 1,Democratic,,,True,True,51.7,general,721
Steve_Cohen_(politician),2008,262,114,15531.0,55,60,0,2006-11-08 06:50:37+00:00,2008-10-22 20:58:30+00:00,House,Tennessee,Tennessee 9,Democratic,,,True,True,87.9,general,714
Dan_Burton,2008,258,115,21916.0,68,60,1,2006-11-10 04:25:20+00:00,2008-10-24 01:14:40+00:00,House,Indiana,Indiana 5,Republican,,,True,True,65.5,general,713
Don_Young,2008,256,141,25026.0,69,63,3,2006-11-09 16:59:31+00:00,2008-11-01 23:08:52+00:00,House,Alaska,Alaska at-large,Republican,R+14,14.0,True,True,50.2,general,723
Saxby_Chambliss,2008,256,140,8969.0,56,74,2,2006-11-10 19:35:58+00:00,2008-11-04 22:47:44+00:00,Senate,Georgia,,Republican,,,False,True,57.5,general,725
Tim_Walberg,2008,250,82,11848.0,30,61,0,2006-11-08 15:29:10+00:00,2008-10-30 00:28:50+00:00,House,Michigan,Michigan 7,Republican,,,True,False,46.5,general,721
Debbie_Wasserman_Schultz,2008,248,122,17130.0,67,72,0,2006-11-08 23:00:19+00:00,2008-11-01 21:24:15+00:00,House,Florida,Florida 20,Democratic,,,True,True,77.5,general,723
Ileana_Ros-Lehtinen,2008,248,119,7535.0,35,82,2,2006-11-10 02:43:25+00:00,2008-11-04 22:57:55+00:00,House,Florida,Florida 18,Republican,,,True,True,57.9,general,725
Loretta_Sanchez,2008,247,114,12326.0,49,96,0,2006-11-10 02:13:38+00:00,2008-11-02 11:14:05+00:00,House,California,California 47,Democratic,,,True,True,69.5,general,723
Patrick_J._Kennedy,2008,243,127,2339.0,46,72,0,2006-11-08 20:21:35+00:00,2008-10-24 20:40:13+00:00,House,Rhode Island,Rhode Island 1,Democratic,,,True,True,68.6,general,716
Bob_Schaffer,2008,242,101,7168.0,39,50,2,2006-11-27 05:30:19+00:00,2008-11-04 17:53:25+00:00,Senate,Colorado,,Republican,,,False,False,42.5,general,708
Nancy_Boyda,2008,242,128,8258.0,44,90,0,2006-11-08 05:09:05+00:00,2008-11-02 05:26:50+00:00,House,Kansas,Kansas 2,Democratic,,,True,False,46.2,general,725
Mary_Landrieu,2008,241,150,7170.0,59,65,1,2006-11-08 16:28:53+00:00,2008-11-02 22:39:34+00:00,Senate,Louisiana,,Democratic,,,False,True,52.1,general,725
Patrick_Murphy_(Pennsylvania_politician),2008,239,146,7806.0,40,91,1,2006-11-08 13:26:02+00:00,2008-10-28 06:14:00+00:00,House,Pennsylvania,Pennsylvania 8,Democratic,,,True,True,56.8,general,719
Sheila_Jackson_Lee,2008,239,127,4152.0,48,92,1,2006-11-12 21:01:52+00:00,2008-10-31 00:11:25+00:00,House,Texas,Texas 18,Democratic,,,True,True,77.3,general,718
Doug_Lamborn,2008,237,77,6687.0,25,92,0,2006-11-08 17:10:56+00:00,2008-10-22 19:19:58+00:00,House,Colorado,Colorado 5,Republican,,,True,True,60.0,general,714
Darcy_Burner,2008,230,95,4872.0,39,64,0,2006-11-08 12:22:01+00:00,2008-10-31 00:05:02+00:00,House,Washington,Washington 8,Democratic,,,False,False,47.2,general,722
Frank_Lautenberg,2008,230,140,7678.0,47,67,0,2006-11-15 16:15:01+00:00,2008-11-02 15:36:10+00:00,Senate,New Jersey,,Democratic,,,False,True,56.0,general,717
Lynn_Westmoreland,2008,228,120,4719.0,51,70,1,2006-11-09 04:31:45+00:00,2008-10-18 16:44:27+00:00,House,Georgia,Georgia 3,Republican,,,True,True,65.7,general,709
Thad_Cochran,2008,228,136,7033.0,44,80,1,2006-11-13 21:37:32+00:00,2008-10-24 14:04:54+00:00,Senate,Mississippi,,Republican,,,False,True,61.4,general,710
Heath_Shuler,2008,226,141,8195.0,38,81,0,2006-11-08 01:53:41+00:00,2008-10-29 19:20:30+00:00,House,North Carolina,North Carolina 11,Democratic,,,True,True,62.0,general,721
Marsha_Blackburn,2008,226,99,8936.0,30,88,2,2006-11-09 15:55:54+00:00,2008-10-31 19:30:19+00:00,House,Tennessee,Tennessee 7,Republican,,,True,True,68.6,general,722
Bill_Foster_(politician),2008,224,97,10768.0,38,57,0,2007-06-12 08:25:36+00:00,2008-10-27 07:19:51+00:00,House,Illinois,Illinois 14,Democratic,,,True,True,57.7,general,502
Lamar_Alexander,2008,224,115,15715.0,69,42,1,2006-11-08 20:35:52+00:00,2008-11-04 19:22:58+00:00,Senate,Tennessee,,Republican,,,False,True,65.1,general,726
Jeanne_Shaheen,2008,221,111,11260.0,57,71,2,2006-11-18 20:16:02+00:00,2008-11-04 04:13:49+00:00,Senate,New Hampshire,,Democratic,,,False,True,51.7,general,716
Jack_Kingston,2008,220,121,-83.0,43,96,1,2006-11-09 19:33:55+00:00,2008-10-27 15:21:40+00:00,House,Georgia,Georgia 1,Republican,,,True,True,66.5,general,717
Henry_Waxman,2008,219,129,8678.0,66,71,1,2006-11-09 23:33:07+00:00,2008-11-04 22:12:36+00:00,House,California,California 30,Democratic,,,True,True,100.0,general,725
Don_Cazayoux,2008,218,55,8317.0,21,15,2,2008-01-27 23:00:47+00:00,2008-10-25 05:59:44+00:00,House,Louisiana,Louisiana 6,Democratic,,,False,True,49.2,special,271
Marcy_Kaptur,2008,218,94,8548.0,28,104,1,2006-11-09 07:00:27+00:00,2008-10-28 05:43:56+00:00,House,Ohio,Ohio 9,Democratic,,,True,True,74.4,general,718
Jean_Schmidt,2008,217,124,-98.0,67,62,2,2006-11-08 19:53:24+00:00,2008-10-30 03:34:34+00:00,House,Ohio,Ohio 2,Republican,,,True,True,44.8,general,721
Kirsten_Gillibrand,2008,217,122,3045.0,62,80,1,2006-11-08 05:37:02+00:00,2008-11-03 04:01:07+00:00,House,New York,New York 20,Democratic,,,True,True,62.1,general,725
Robert_Wexler,2008,217,137,9753.0,35,88,0,2006-11-08 04:49:23+00:00,2008-11-02 23:51:13+00:00,House,Florida,Florida 19,Democratic,,,True,True,66.2,general,725
Chaka_Fattah,2008,213,89,5709.0,29,97,1,2006-11-10 15:30:48+00:00,2008-10-27 02:51:51+00:00,House,Pennsylvania,Pennsylvania 2,Democratic,,,True,True,88.9,general,716
Jay_Rockefeller,2008,213,145,14052.0,58,59,0,2006-11-16 02:33:06+00:00,2008-10-28 16:19:16+00:00,Senate,West Virginia,,Democratic,,,False,True,63.7,general,712
Dean_Heller,2008,208,73,3633.0,30,34,0,2006-11-08 14:39:46+00:00,2008-10-18 14:19:39+00:00,House,Nevada,Nevada 2,Republican,,,True,True,51.8,general,709
Chet_Edwards,2008,207,109,7755.0,32,70,0,2006-11-08 21:55:59+00:00,2008-10-18 13:54:28+00:00,House,Texas,Texas 17,Democratic,,,True,True,53.0,general,709
Dan_Lungren,2008,206,87,14957.0,28,111,1,2006-11-09 22:42:54+00:00,2008-10-28 14:41:17+00:00,House,California,California 3,Republican,,,True,True,49.5,general,718
Chris_Carney,2008,203,124,14444.0,44,74,1,2006-11-08 04:09:00+00:00,2008-10-28 15:01:55+00:00,House,Pennsylvania,Pennsylvania 10,Democratic,,,True,True,56.3,general,720
Anne_Northup,2008,202,90,7978.0,51,47,0,2006-11-08 00:38:49+00:00,2008-10-24 02:43:15+00:00,House,Kentucky,Kentucky 3,Republican,,,False,False,40.6,general,716
Cathy_McMorris_Rodgers,2008,202,67,2580.0,30,50,0,2006-11-10 21:33:47+00:00,2008-11-04 18:12:05+00:00,House,Washington,Washington 5,Republican,,,True,True,65.3,general,724
Steve_Buyer,2008,202,95,2462.0,33,89,1,2006-11-08 04:52:39+00:00,2008-10-23 10:59:21+00:00,House,Indiana,Indiana 4,Republican,,,True,True,59.9,general,715
Eric_Cantor,2008,200,130,7375.0,30,81,1,2006-11-13 01:30:02+00:00,2008-11-01 20:39:28+00:00,House,Virginia,Virginia 7,Republican,,,True,True,62.7,general,719
Tom_Allen_(Maine_politician),2008,199,123,6608.0,47,71,0,2006-11-10 23:45:05+00:00,2008-11-04 00:41:52+00:00,Senate,Maine,,Democratic,,,False,False,38.6,general,724
Mark_Udall,2008,198,101,9441.0,31,51,2,2006-11-11 12:09:08+00:00,2008-11-04 23:47:07+00:00,Senate,Colorado,,Democratic,,,False,True,52.8,general,724
Stephanie_Herseth_Sandlin,2008,198,123,5947.0,62,45,0,2006-11-08 14:16:42+00:00,2008-11-04 19:11:07+00:00,House,South Dakota,South Dakota at-large,Democratic,,,True,True,67.6,general,727
Joe_Sestak,2008,196,123,6511.0,40,63,0,2006-11-08 04:39:33+00:00,2008-10-18 16:37:44+00:00,House,Pennsylvania,Pennsylvania 7,Democratic,,,True,True,59.6,general,710
Roger_Wicker,2008,192,89,6134.0,43,34,0,2006-11-11 06:01:07+00:00,2008-10-18 13:38:19+00:00,Senate,Mississippi,,Republican,,,False,True,55.0,special,707
Anthony_Weiner,2008,190,100,6079.0,35,64,0,2006-11-08 14:17:24+00:00,2008-10-22 15:10:19+00:00,House,New York,New York 9,Democratic,,,True,True,93.3,general,714
Geoff_Davis,2008,189,107,4683.0,46,83,2,2006-11-08 15:38:53+00:00,2008-10-27 20:33:15+00:00,House,Kentucky,Kentucky 4,Republican,,,True,True,63.0,general,719
Jim_Sensenbrenner,2008,189,119,4971.0,36,71,2,2006-11-08 08:48:14+00:00,2008-10-19 19:14:10+00:00,House,Wisconsin,Wisconsin 5,Republican,,,True,True,79.6,general,711
Larry_LaRocco,2008,189,60,7003.0,15,75,0,2006-12-16 06:26:53+00:00,2008-11-04 15:05:49+00:00,Senate,Idaho,,Democratic,,,False,False,34.1,general,689
Mary_Bono,2008,189,122,3360.0,31,61,1,2006-11-09 23:37:50+00:00,2008-11-04 02:41:30+00:00,House,California,California 45,Republican,,,True,True,58.3,general,725
David_Dreier,2008,188,116,4327.0,42,54,0,2006-11-09 23:29:28+00:00,2008-11-03 20:34:48+00:00,House,California,California 26,Republican,,,True,True,52.7,general,724
Chris_Murphy,2008,187,85,8964.0,24,97,0,2006-11-08 04:14:17+00:00,2008-11-04 18:12:07+00:00,House,Connecticut,Connecticut 5,Democratic,,,True,True,59.2,general,727
Nick_Lampson,2008,187,94,16606.0,30,48,0,2006-11-08 06:48:29+00:00,2008-11-03 18:27:31+00:00,House,Texas,Texas 22,Democratic,,,True,False,45.4,general,726
Earl_Pomeroy,2008,182,79,5887.0,40,53,0,2006-11-08 02:17:56+00:00,2008-11-01 00:06:55+00:00,House,North Dakota,North Dakota at-large,Democratic–NPL,,,True,True,62.0,general,723
David_Wu,2008,180,91,4187.0,29,41,0,2006-11-09 00:09:07+00:00,2008-10-20 06:05:43+00:00,House,Oregon,Oregon 1,Democratic,,,True,True,71.5,general,711
Tim_Mahoney,2008,180,111,8408.0,24,64,2,2006-11-08 06:41:16+00:00,2008-11-03 20:46:30+00:00,House,Florida,Florida 16,Democratic,,,True,False,39.9,general,726
Chris_Shays,2008,179,120,13308.0,32,76,0,2006-11-08 09:55:05+00:00,2008-11-04 15:42:50+00:00,House,Connecticut,Connecticut 4,Republican,,,True,False,47.6,general,727
Dan_Seals_(politician),2008,179,52,5543.0,27,38,0,2008-06-20 22:54:10+00:00,2008-11-03 15:22:58+00:00,House,Illinois,Illinois 10,Democratic,,,False,False,47.4,general,135
Jerry_Nadler,2008,179,77,5990.0,23,63,0,2006-11-08 00:20:36+00:00,2008-11-04 16:03:43+00:00,House,New York,New York 8,Democratic,,,True,True,80.5,general,727
Laura_Richardson,2008,178,110,14232.0,18,89,0,2007-01-11 00:16:56+00:00,2008-10-20 02:23:11+00:00,House,California,California 37,Democratic,,,True,True,75.0,general,648
Jim_McDermott,2008,177,114,4973.0,30,68,1,2006-11-12 00:24:41+00:00,2008-10-27 16:01:56+00:00,House,Washington,Washington 7,Democratic,,,True,True,83.6,general,715
Max_Baucus,2008,176,113,10746.0,34,46,0,2006-11-09 23:29:13+00:00,2008-11-04 22:23:41+00:00,Senate,Montana,,Democratic,,,False,True,72.9,general,725
Rush_Holt_Jr.,2008,176,69,4284.0,63,25,1,2006-11-08 13:11:38+00:00,2008-10-23 04:24:32+00:00,House,New Jersey,New Jersey 12,Democratic,,,True,True,63.1,general,714
John_Spratt,2008,174,45,4728.0,64,24,1,2006-11-08 12:48:49+00:00,2008-10-18 16:43:31+00:00,House,South Carolina,South Carolina 5,Democratic,,,True,True,61.6,general,710
Jim_Moran,2008,173,115,7879.0,36,62,0,2006-11-08 03:45:12+00:00,2008-10-18 16:34:29+00:00,House,Virginia,Virginia 8,Democratic,,,True,True,67.9,general,710
Niki_Tsongas,2008,172,72,6604.0,22,35,0,2007-04-17 02:37:01+00:00,2008-11-03 01:25:46+00:00,House,Massachusetts,Massachusetts 5,Democratic,,,True,True,,general,565
Ronnie_Musgrove,2008,172,75,10429.0,34,45,1,2006-12-02 01:03:59+00:00,2008-11-03 03:59:28+00:00,Senate,Mississippi,,Democratic,,,False,False,45.0,special,702
Darrell_Issa,2008,171,114,8996.0,41,43,0,2006-11-09 23:40:43+00:00,2008-11-04 02:41:01+00:00,House,California,California 49,Republican,,,True,True,58.3,general,725
Jane_Harman,2008,171,103,11034.0,38,49,0,2006-11-09 11:03:17+00:00,2008-10-28 19:33:33+00:00,House,California,California 36,Democratic,,,True,True,68.7,general,719
Roy_Blunt,2008,170,94,6500.0,36,46,3,2006-11-08 23:45:45+00:00,2008-10-20 16:09:39+00:00,House,Missouri,Missouri 7,Republican,,,True,True,67.8,general,711
John_Gard,2008,169,54,3287.0,21,78,0,2006-11-08 06:22:38+00:00,2008-10-05 18:28:30+00:00,House,Wisconsin,Wisconsin 8,Republican,,,False,False,45.9,general,697
Tom_McClintock,2008,169,82,5499.0,27,45,0,2006-11-08 06:07:05+00:00,2008-11-02 21:20:33+00:00,House,California,California 4,Republican,,,False,True,50.3,general,725
Jill_Morgenthaler,2008,168,51,3277.0,20,36,0,2007-10-17 19:58:11+00:00,2008-10-09 23:29:02+00:00,House,Illinois,Illinois 6,Democratic,,,False,False,42.4,general,358
Joe_Garcia,2008,168,21,2095.0,56,18,0,2007-10-06 20:26:03+00:00,2008-10-28 16:23:56+00:00,House,Florida,Florida 25,Democratic,,,False,False,46.9,general,387
Dina_Titus,2008,167,55,9821.0,32,46,1,2006-11-08 04:14:38+00:00,2008-11-04 06:47:59+00:00,House,Nevada,Nevada 3,Democratic,,,False,True,47.4,general,727
G._K._Butterfield,2008,167,83,2736.0,21,48,2,2006-11-11 15:17:25+00:00,2008-11-04 21:50:14+00:00,House,North Carolina,North Carolina 1,Democratic,,,True,True,70.3,general,724
Alcee_Hastings,2008,165,118,7633.0,31,76,0,2006-11-10 17:05:04+00:00,2008-11-04 16:20:31+00:00,House,Florida,Florida 23,Democratic,,,True,True,82.1,general,724
Mike_Arcuri,2008,165,88,397.0,24,77,2,2006-11-08 16:17:53+00:00,2008-10-18 16:36:47+00:00,House,New York,New York 24,Democratic,,,True,True,52.0,general,710
Pat_Roberts,2008,165,98,10625.0,50,34,3,2006-11-24 21:35:34+00:00,2008-10-28 14:20:38+00:00,Senate,Kansas,,Republican,,,False,True,60.0,general,703
Tom_Feeney,2008,165,98,8341.0,36,48,1,2006-11-10 02:52:57+00:00,2008-10-26 22:39:08+00:00,House,Florida,Florida 24,Republican,,,True,False,41.1,general,716
Adrian_Smith_(politician),2008,164,65,3720.0,39,29,1,2006-11-10 15:24:17+00:00,2008-11-04 23:17:51+00:00,House,Nebraska,Nebraska 3,Republican,,,True,True,76.9,general,725
Carolyn_Cheeks_Kilpatrick,2008,163,101,3035.0,31,70,1,2006-11-11 05:53:15+00:00,2008-10-31 08:38:26+00:00,House,Michigan,Michigan 13,Democratic,,,True,True,74.1,general,720
Henry_Cuellar,2008,163,80,8013.0,18,58,0,2006-11-10 23:15:54+00:00,2008-10-18 15:46:29+00:00,House,Texas,Texas 28,Democratic,,,True,True,68.7,general,707
Travis_Childers,2008,163,46,9020.0,14,15,0,2008-03-21 16:59:23+00:00,2008-10-30 17:33:56+00:00,House,Mississippi,Mississippi 1,Democratic,,,False,True,53.78,special,223
Mazie_Hirono,2008,161,88,3699.0,42,47,0,2006-11-08 07:41:59+00:00,2008-10-20 02:21:54+00:00,House,Hawaii,Hawaii 2,Democratic,,,True,True,76.1,general,711
